,kor_name,ticker
0,제일홀딩스,003380
1,하나금융9호스팩,261200
2,교보7호스팩,267320
3,보라티알,250000
4,한화수성스팩,265920
5,매일유업,267980
6,삼양옵틱스,225190
7,IBKS제6호스팩,264850
8,필옵틱스,161580
9,미래에셋대우스팩1호,265480
10,엔에이치스팩10호,256630
11,한화에이스스팩3호,264290
12,하나머티리얼즈,166090
13,와이엠티,251370
14,케이비제11호스팩,258790
15,AP시스템,265520
16,신영스팩3호,263770
17,이엘피,063760
18,유비쿼스,264450
19,서진시스템,178320
20,코미코,183300
21,아스타,246720
22,대신밸런스제4호스팩,262830
23,에스디생명공학,217480
24,신신제약,002800
25,에프엔에스테크,083500
26,모바일어플라이언스,087260
27,신한제3호스팩,257730
28,피씨엘,241820
29,서플러스글로벌,140070
30,유바이오로직스,206650
31,엔에이치스팩11호,256840
32,퓨전데이타,195440
33,DSC인베스트먼트,241520
34,티에스인베스트먼트,246690
35,마이크로프랜드,147760
36,현성바이탈,204990
37,애니젠,196300
38,유니온커뮤니티,203450
39,신라젠,215600
40,IBKS제5호스팩,254120
41,오션브릿지,241790
42,퓨쳐켐,220100
43,뉴파워프라즈마,144960
44,엘앤케이바이오,156100
45,에이치엔티,176440
46,핸디소프트,220180
47,SK3호스팩,232330
48,클리오,237880
49,오가닉티코스메틱,900300
50,로고스바이오,238120
51,IBKS지엠비스팩,252500
52,인크로스,216050
53,에이치엘사이언스,239610
54,코스메카코리아,241710
55,GRT,900290
56,골든센츄리,900280
57,인텔리안테크,189300
58,에이치시티,072990
59,잉글우드랩,950140
60,앤디포스,238090
61,수산아이앤티,050960
62,미투온,201490
63,케이비제10호스팩,250930
64,유니테크노,241690
65,모비스,250060
66,교보비엔케이스팩,242040
67,자이글,234920
68,헝셩그룹,900270
69,에코마케팅,230360
70,팍스넷,038160
71,엔지스테크널러지,208860
72,우리손에프앤지,073560
73,옵토팩,123010
74,장원테크,174880
75,대유위니아,071460
76,바이오리더스,142760
77,피앤씨테크,237750
78,로스웰,900260
79,녹십자랩셀,144510
80,에스티팜,237690
81,알엔투테크놀로지,148250
82,한국4호스팩,240540
83,미래에셋제5호스팩,239340
84,휴온스,243070
85,원익IPS,240810
86,레이언스,228850
87,씨엠에스에듀,225330
88,동양파일,228340
89,팬젠,222110
90,AP위성,211270
91,하이에이아이1호스팩,235010
92,솔트웍스,230980
93,케이비제9호스팩,232270
94,큐리언트,115180
95,안트로젠,065660
96,슈프리마,236200
97,아이엠텍,226350
98,유니트론텍,142210
99,크리스탈신소재,900250
100,한솔씨앤피,221610
101,에스와이패널,109610
102,코디엠,224060
103,와이아이케이,232140
104,육일씨엔에쓰,191410
105,이에스브이,223310
106,휴젤,145020
107,한국맥널티,222980
108,덱스터,206560
109,아진산업,013310
110,강스템바이오텍,217730
111,씨트리,047920
112,동부제4호스팩,230490
113,메가엠디,133750
114,보광산업,225530
115,파크시스템스,140860
116,뉴트리바이오텍,222040
117,예스티,122640
118,하나금융7호SPAC,230240
119,멕아이씨에스,058110
120,엔에스,217820
121,미래테크놀로지,213090
122,하이즈항공,221840
123,리드,197210
124,엠지메드,180400
125,매직마이크로,127160
126,케이디켐,221980
127,골든브릿지제4호스팩,227950
128,네오오토,212560
129,케어젠,214370
130,아이진,185490
131,나무가,190510
132,유앤아이,056090
133,에이치엠씨3호스팩,226340
134,더블유게임즈,192080
135,연우,115960
136,키움스팩4호,226850
137,에이티젠,182400
138,엑시콘,092870
139,케이비드림4호스팩,226360
140,이베스트스팩3호,225440
141,에치디프로,214870
142,IBKS제3호스팩,225430
143,동부스팩3호,226440
144,신영스팩2호,225590
145,넷게임즈,225570
146,제너셈,217190
147,타이거일렉,219130
148,인포마크,175140
149,유진스팩3호,221200
150,쿠첸,225650
151,씨아이에스,222080
152,해마로푸드서비스,220630
153,교보5호스팩,223040
154,에이텍티앤,224110
155,웹스,196700
156,케이비드림3호스팩,221950
157,파인텍,131760
158,닉스테크,222810
159,심텍,222800
160,흥국에프엔비,189980
161,쎄노텍,222420
162,칩스앤미디어,094360
163,케이비제8호스팩,222390
164,아시아경제,127710
165,아이쓰리시스템,214430
166,로지시스,067730
167,케이프이에스스팩,220260
168,파마리서치프로덕트,214450
169,펩트론,087010
170,한강인터트레이드,219550
171,한화에이스스팩2호,219860
172,유안타제2호스팩,219960
173,키움스팩3호,218710
174,골든브릿지제3호스팩,219580
175,동운아나텍,094170
176,민앤지,214180
177,엔에이치스팩8호,218410
178,유테크,178780
179,에스엔텍,160600
180,켐온,217600
181,코아스템,166480
182,세미콘라이트,214310
183,베셀,177350
184,넵튠,217270
185,하나머스트5호스팩,218150
186,싸이맥스,160980
187,하이제3호스팩,217500
188,엔에이치스팩7호,217810
189,픽셀플러스,087600
190,한화ACPC스팩,217620
191,제노포커스,187420
192,미래에셋제3호스팩,215750
193,대우스팩3호,215580
194,우정비에스씨,215380
195,토박스코리아,215480
196,이노인스트루먼트,215790
197,우리산업,215360
198,메가스터디교육,215200
199,유진에이씨피씨스팩2호,215090
200,하나머스트4호스팩,215100
201,디알텍,214680
202,유지인트,195990
203,골프존,215000
204,케이티비스팩2호,214150
205,SK1호스팩,207930
206,퓨쳐스트림네트웍스,214270
207,포시에스,189690
208,덕산네오룩스,213420
209,골든브릿지제2호스팩,206660
210,국일신동,060480
211,바디텍메드,206640
212,썸에이지,208640
213,와이제이엠게임즈,193250
214,화이브라더스코리아,204630
215,하이셈,200470
216,휴메딕스,200670
217,바이오로그디바이스,208710
218,서전기전,189860
219,아스트,067390
220,오킨스전자,080580
221,지란지교시큐리티,208350
222,하나머스트3호스팩,208870
223,NEW,160550
224,아이티센,124500
225,녹십자엠에스,142280
226,디티앤씨,187220
227,셀바스헬스케어,208370
228,엔에이치SL스팩,207720
229,정다운,208140
230,하이로닉,149980
231,랩지노믹스,084650
232,에이디테크놀로지,200710
233,비씨월드제약,200780
234,미스터블루,207760
235,알테오젠,196170
236,엔터메이트,206400
237,SKC코오롱PI,178920
238,대창스틸,140520
239,에프엔씨엔터,173940
240,하이제2호스팩,205470
241,케이티비스팩1호,204650
242,텔콘,200230
243,파티게임즈,194510
244,지엘팜텍,204840
245,디에이테크놀로지,196490
246,유안타제1호스팩,204620
247,액션스퀘어,205500
248,엑셈,205100
249,테고사이언스,191420
250,슈피겐코리아,192440
251,테라셈,182690
252,영우디에스피,143540
253,드림시큐리티,203650
254,메디아나,041920
255,데브시스터즈,194480
256,프로스테믹스,203690
257,감마누,192410
258,고려시멘트,198440
259,신화콘텍,187270
260,파버나인,177830
261,덕신하우징,090410
262,창해에탄올,004650
263,윈하이텍,192390
264,아진엑스텍,059120
265,콜마비앤에이치,200130
266,트루윈,105550
267,우성아이비,194610
268,온다 엔터테인먼트,196450
269,캐스텍코리아,071850
270,나노,187790
271,케이사인,192250
272,오이솔루션,138080
273,인터파크,108790
274,한국정보인증,053300
275,솔루에타,154040
276,이지웰페어,090850
277,SGA솔루션즈,184230
278,기가레인,049080
279,인트로메딕,150840
280,알티캐스트,085810
281,현대공업,170030
282,엔브이에이치코리아,067570
283,디엠티,134580
284,큐브엔터,182360
285,라이온켐텍,171120
286,램테크놀러지,171010
287,미동앤씨네마,161570
288,에이씨티,138360
289,해성옵틱스,076610
290,내츄럴엔도텍,168330
291,테스나,131970
292,파수닷컴,150900
293,엘티씨,170920
294,지엔씨에너지,119850
295,아미코젠,092040
296,GH신소재,130500
297,파이오링크,170790
298,KG ETS,151860
299,나스미디어,089600
300,엑세스바이오,950130
301,레고켐바이오,141080
302,인터불스,158310
303,윈팩,097800
304,코렌텍,104540
305,제로투세븐,159580
306,지디,155960
307,아이원스,114810
308,우리이앤엘,153490
309,아이센스,099190
310,포티스,141020
311,스킨앤스킨,159910
312,SBI액시즈,950110
313,우리로,046970
314,디젠스,113810
315,맥스로텍,141070
316,와이엠씨,155650
317,아바텍,149950
318,코이즈,121850
319,모다,149940
320,나노스,151910
321,엠씨넥스,097520
322,네이블커뮤니케이션즈,153460
323,디지탈옵틱,106520
324,피엔티,137400
325,비아트론,141000
326,빛샘전자,072950
327,사람인에이치알,143240
328,뉴로스,126870
329,제룡산업,147830
330,남화토건,091590
331,메지온,140410
332,원익머트리얼즈,104830
333,디엔에이링크,127120
334,나이스디앤비,130580
335,시큐브,131090
336,서암기계공업,100660
337,씨유메디칼,115480
338,사파이어테크놀로지,123260
339,넥스트리밍,139670
340,비덴트,121800
341,에스에프씨,112240
342,신진에스엠,138070
343,이엠넷,123570
344,와이지엔터테인먼트,122870
345,쎄미시스코,136510
346,에이티세미콘,089530
347,테크윙,089030
348,씨큐브,101240
349,에스엠코어,007820
350,씨엔플러스,115530
351,테라세미콘,123100
352,케이맥,043290
353,로보스타,090360
354,대한과학,131220
355,피앤이솔루션,131390
356,아이디스,143160
357,화진,134780
358,제이씨케미칼,137950
359,아이씨디,040910
360,제닉,123330
361,아이지스시스템,139050
362,상아프론테크,089980
363,나이벡,138610
364,옵티시스,109080
365,대양전기공업,108380
366,서연탑메탈,019770
367,넥스트아이,137940
368,리켐,131100
369,완리,900180
370,엘아이에스,138690
371,KMH,122450
372,골프존뉴딘,121440
373,윈스,136540
374,하림,136480
375,이퓨쳐,134060
376,티케이케미칼,104480
377,부스타,008470
378,나노신소재,121600
379,케이아이엔엑스,093320
380,티피씨글로벌,130740
381,딜리,131180
382,엘비세미콘,061970
383,제이엔케이히터,126880
384,블루콤,033560
385,인트론바이오,048530
386,다나와,119860
387,씨그널엔터테인먼트그룹,099830
388,알서포트,131370
389,인텍플러스,064290
390,티에스이,131290
391,액트,131400
392,대정화금,120240
393,피제이메탈,128660
394,디에이치피코리아,131030
395,제이스테판,096690
396,티비씨,033830
397,시그네틱스,033170
398,썬텍,122800
399,한국전자인증,041460
400,디케이락,105740
401,코프라,126600
402,선데이토즈,123420
403,삼본정밀전자,111870
404,아나패스,123860
405,KNN,058400
406,누리플랜,069140
407,아이텍반도체,119830
408,인화정공,101930
409,코렌,078650
410,아이씨케이,068940
411,CJ E&M,130960
412,한일진공,123840
413,알파홀딩스,117670
414,포메탈,119500
415,다원시스,068240
416,씨젠,096530
417,와이솔,122990
418,하이비젼시스템,126700
419,화신정공,126640
420,코리아에프티,123410
421,엠에스오토텍,123040
422,이글루시큐리티,067920
423,인터로조,119610
424,하이텍팜,106190
425,웨이포트,900130
426,크루셜텍,114120
427,에스디시스템,121890
428,알톤스포츠,123750
429,유비벨록스,089850
430,처음앤씨,111820
431,오르비텍,046120
432,한솔시큐어,070300
433,실리콘웍스,108320
434,투비소프트,079970
435,인피니트헬스케어,071200
436,모바일리더,100030
437,서진오토모티브,122690
438,이스트아시아홀딩스,900110
439,뉴프라이드,900100
440,케이씨에스,115500
441,씨케이에이치,900120
442,지트리비앤티,115450
443,삼기오토모티브,122350
444,이미지스,115610
445,알비케이이엠디,106080
446,인포바인,115310
447,차이나하오란,900090
448,모베이스,101330
449,지스마트글로벌,114570
450,스타플렉스,115570
451,우리넷,115440
452,아세아텍,050860
453,우노앤컴퍼니,114630
454,코디,080530
455,글로벌에스엠,900070
456,ITX엠투엠,099520
457,KPX생명과학,114450
458,동양피엔에프,104460
459,멜파스,096640
460,위메이드,112040
461,셀바스AI,108860
462,에스앤씨엔진그룹,900080
463,이원컴포텍,088290
464,웰크론강원,114190
465,휴맥스,115160
466,에이프로젠 H&G,109960
467,동방선기,099410
468,디엠씨,101000
469,진매트릭스,109820
470,비츠로셀,082920
471,스틸플라워,087220
472,한스바이오메드,042520
473,NHN벅스,104200
474,아이앤씨,052860
475,케이엔더블유,105330
476,디에스케이,109740
477,제넥신,095700
478,톱텍,108230
479,동국S&C,100130
480,에스앤더블류,103230
481,게임빌,063080
482,동일금속,109860
483,어보브반도체,102120
484,조이맥스,101730
485,차이나그레이트,900040
486,이엔에프테크놀로지,102710
487,스맥,099440
488,해덕파워웨이,102210
489,SDN,099220
490,한국정밀기계,101680
491,흥국,010240
492,한솔신텍,099660
493,우림기계,101170
494,티플랙스,081150
495,세한엔에스브이,095300
496,에스티오,098660
497,에이테크솔루션,071670
498,에스앤에스텍,101490
499,뷰웍스,100120
500,코오롱생명과학,102940
501,네오피델리티,101400
502,파인테크닉스,106240
503,이수앱지스,086890
504,대성파인텍,104040
505,유비쿼스홀딩스,078070
506,메디톡스,086900
507,엠게임,058630
508,아이컴포넌트,059100
509,에이치엘비생명과학,067630
510,이크레더블,092130
511,SIMPAC Metal,090730
512,세운메디칼,100700
513,마이크로컨텍솔,098120
514,KJ프리텍,083470
515,삼강엠앤티,100090
516,아이엠,101390
517,웰크론한텍,076080
518,코리아에스이,101670
519,슈프리마에이치큐,094840
520,서울옥션,063170
521,이스트소프트,047560
522,청담러닝,096240
523,월덱스,101160
524,쎄트렉아이,099320
