,kor_name,ticker
0,미원에스씨,268280
1,경동도시가스,267290
2,넷마블게임즈,251270
3,아이엔지생명,079440
4,현대건설기계,267270
5,현대로보틱스,267250
6,현대일렉트릭,267260
7,크라운제과,264900
8,덴티움,145720
9,호전실업,111110
10,핸즈코퍼레이션,143210
11,두산밥캣,241560
12,삼성바이오로직스,207940
13,JW생명과학,234080
14,화승엔터프라이즈,241590
15,LS전선아시아,229640
16,모두투어리츠,204210
17,일동제약,249420
18,샘표식품,248170
19,두올,016740
20,동서,026960
21,한국자산신탁,123890
22,한국토지신탁,034830
23,해성디에스,195870
24,용평리조트,070960
25,해태제과식품,101530
26,대림씨엔에스,004440
27,제이에스코퍼레이션,194370
28,코리아오토글라스,152330
29,잇츠한불,226320
30,세진중공업,075580
31,금호에이치티,214330
32,제주항공,089590
33,현대코퍼레이션홀딩스,227840
34,LIG넥스원,079550
35,동일제강,002690
36,아이콘트롤스,039570
37,AJ네트웍스,095570
38,이노션,214320
39,토니모리,214420
40,미래에셋생명,085620
41,경보제약,214390
42,SK디앤디,210980
43,엔에스쇼핑,138250
44,세화아이엠씨,145210
45,한솔제지,213500
46,디와이파워,210540
47,삼성물산,028260
48,씨에스윈드,112610
49,우리은행,000030
50,삼성에스디에스,018260
51,만도,204320
52,서연이화,200880
53,쿠쿠전자,192400
54,화인베스틸,133820
55,광주은행,192530
56,BGF리테일,027410
57,코스맥스,192820
58,종근당,185750
59,신송홀딩스,006880
60,아세아시멘트,183190
61,현대로템,064350
62,한진칼,180640
63,NHN엔터테인먼트,181710
64,JB금융지주,175330
65,하이골드12호,172580
66,DSR,155660
67,한국패러랠,168490
68,동아에스티,170900
69,지엠비코리아,013870
70,CJ헬로비전,037560
71,동일고무벨트,163560
72,한국콜마,161890
73,한국타이어,161390
74,애경유화,161000
75,하이골드8호,159650
76,AJ렌터카,068400
77,바다로19호,155900
78,사조씨푸드,014710
79,하이골드3호,153360
80,코오롱머티리얼,144620
81,한국ANKOR유전,152550
82,휴비스,079980
83,케이탑리츠,145270
84,GS리테일,007070
85,인터지스,129260
86,삼양사,145990
87,하나투어,039130
88,트러스제7호,140890
89,에이블씨엔씨,078520
90,삼원강재,023000
91,신세계인터내셔날,031430
92,에이리츠,140910
93,한국항공우주,047810
94,롯데하이마트,071840
95,엠케이트렌드,069640
96,코오롱플라스틱,138490
97,이마트,139480
98,DGB금융지주,139130
99,케이티스카이라이프,053210
100,세아특수강,019440
101,메리츠금융지주,138040
102,한국종합기술,023350
103,BNK금융지주,138930
104,일진머티리얼즈,020150
105,현대위아,011210
106,선진,136490
107,미원화학,134380
108,팀스,134790
109,두산엔진,082740
110,대성에너지,117580
111,현대에이치씨엔,126560
112,케이티스,058860
113,한전산업,130660
114,코라오홀딩스,900140
115,동양네트웍스,030790
116,휠라코리아,081660
117,KTcs,058850
118,현대홈쇼핑,057050
119,도화엔지니어링,002150
120,대성산업,128820
121,아이마켓코리아,122900
122,한미약품,128940
123,우진,105840
124,무학,033920
125,웅진에너지,103130
126,이연제약,102460
127,한국화장품,123690
128,에스제이엠,123700
129,한라홀딩스,060980
130,삼성생명,032830
131,신세계푸드,031440
132,한화생명,088350
133,조선선재,120030
134,코오롱인더,120110
135,KC코트렐,119650
136,지역난방공사,071320
137,락앤락,115390
138,영흥철강,012160
139,우리들휴브레인,118000
140,한전기술,052690
141,GKL,114090
142,SK,034730
143,황금에스티,032560
144,하이트진로,000080
145,동양생명,082640
146,쌍용머티리얼,047400
147,형지엘리트,093240
148,키움증권,039490
149,영원무역,111770
150,아주캐피탈,033660
151,한미글로벌,053690
152,동아지질,028100
153,중국원양자원,900050
154,STX중공업,071970
155,LG하우시스,108670
156,한세실업,105630
157,KGP,109070
158,미원홀딩스,107590
159,NAVER,035420
160,부국철강,026940
161,KB금융,105560
162,한국철강,104700
163,일진전기,103590
164,풍산,103140
165,LG이노텍,011070
166,명문제약,017180
167,비상교육,100220
168,동성코퍼레이션,102260
169,쌍방울,102280
170,LG유플러스,032640
171,아티스,101140
172,아시아나항공,020560
173,SBS미디어홀딩스,101060
174,S&TC,100840
175,진양홀딩스,100250
176,하나니켈1호,099340
177,하나니켈2호,099350
178,엔케이,085310
179,한전KPS,051600
180,이아이디,093230
181,기신정기,092440
182,KSS해운,044450
183,효성 ITX,094280
184,유나이티드,033270
185,디아이씨,092200
186,CJ제일제당,097950
187,팬오션,028670
188,한진중공업,097230
189,JW홀딩스,096760
190,SK이노베이션,096770
191,삼성카드,029780
192,베트남개발1,096300
193,알루코,001780
194,웅진씽크빅,095720
195,맵스리얼티1,094800
196,아비스타,090370
197,후성,093370
198,LF,093050
199,주연테크,044380
200,코스맥스비티아이,044820
201,인천도시가스,034590
202,삼정펄프,009770
203,KEC,092220
204,KPX홀딩스,092230
205,현대EP,089470
206,세원셀론텍,091090
207,노루페인트,090350
208,아모레퍼시픽,090430
209,롯데관광개발,032350
210,평화산업,090080
211,우진플라임,049800
212,신세계I&C,035510
213,진도,088790
214,맥쿼리인프라,088980
215,롯데쇼핑,023530
216,현대글로비스,086280
217,티비에이치글로벌,084870
218,하나금융지주,086790
219,제일연마,001560
220,현대리바트,079430
221,대한제강,084010
222,새론오토모티브,075180
223,KPX그린케미칼,083420
224,동북아12호선박투자,083370
225,동북아13호선박투자,083380
226,대상홀딩스,084690
227,아시아퍼시픽15호,083620
228,코아스,071950
229,이월드,084680
230,동양고속,084670
231,한미반도체,042700
232,동일산업,004890
233,삼호개발,010960
234,금호타이어,073240
235,CJ CGV,079160
236,일진다이아,081000
237,유니드,014830
238,상신브레이크,041650
239,사조해표,079660
240,인팩,023810
241,GS,078930
242,유니퀘스트,077500
243,동아에스텍,058730
244,LG디스플레이,034220
245,텔코웨어,078000
246,STX엔진,077970
247,NICE,034310
248,대교,019680
249,기업은행,024110
250,이엔쓰리,074610
251,한솔홈데코,025750
252,이수페타시스,007660
253,강원랜드,035250
254,YG PLUS,037270
255,농심홀딩스,072710
256,한국금융지주,071050
257,유엔젤,072130
258,SBS,034120
259,엔씨소프트,036570
260,하이스틸,071090
261,DSR제강,069730
262,태경화학,006890
263,한농화성,011500
264,현대백화점,069960
265,대호에이엘,069460
266,대웅제약,069620
267,마니커,027740
268,S&T홀딩스,036530
269,휴켐스,069260
270,세종공업,033530
271,포스코강판,058430
272,삼성출판사,068290
273,세이브존I&C,067830
274,교보증권,030610
275,한샘,009240
276,신세계건설,034300
277,우신시스템,017370
278,LG전자,066570
279,한국콜마홀딩스,024720
280,S&T모티브,064960
281,광주신세계,037710
282,일진디스플,020760
283,필룩스,033180
284,종근당바이오,063160
285,신한지주,055550
286,코웨이,021240
287,세아홀딩스,058650
288,LG생활건강,051900
289,LG화학,051910
290,대우건설,047040
291,포스코대우,047050
292,대우조선해양,042660
293,두산인프라코어,042670
294,진양화학,051630
295,동원F&B,049770
296,두산중공업,034020
297,한국내화,010040
298,한세예스24홀딩스,016450
299,대성홀딩스,016710
300,대원제약,003220
301,한국가스공사,036460
302,미래아이앤지,007120
303,화천기공,000850
304,팜스코,036580
305,케이티앤지,033780
306,현대중공업,009540
307,디씨엠,024090
308,AK홀딩스,006840
309,대한유화,006650
310,백산,035150
311,지투알,035000
312,체시스,033250
313,자화전자,033240
314,케이티,030200
315,하이트론씨스템즈,019490
316,제일기획,030000
317,디피씨,026890
318,케이씨텍,029460
319,대원화성,024890
320,E1,017940
321,SK가스,018670
322,다우기술,023590
323,영보화학,014440
324,SKC,011790
325,와이비로드,010600
326,한국주강,025890
327,덕양산업,024900
328,부산도시가스,015350
329,에쓰씨엔지니어링,023960
330,인지컨트롤스,023800
331,경동인베스트,012320
332,에스제이엠홀딩스,025530
333,콤텍시스템,031820
334,SK하이닉스,000660
335,MH에탄올,023150
336,국동,005320
337,동남합성,023450
338,삼성엔지니어링,028050
339,신도리코,029530
340,예스코,015360
341,퍼시스,016800
342,WISCOM,024070
343,동원수산,030720
344,미래산업,025560
345,KB캐피탈,021960
346,KTB투자증권,030210
347,광전자,017900
348,한국단자공업,025540
349,현대산업개발,012630
350,디아이,003160
351,신성이엔지,011930
352,티에이치엔,019180
353,한온시스템,018880
354,다우인큐브,020120
355,세원정공,021820
356,세하,027970
357,영풍제지,006740
358,유니온,000910
359,한섬,020000
360,현대엘리베이터,017800
361,환인제약,016580
362,계룡건설산업,013580
363,두산건설,011160
364,서원,021050
365,에스원,012750
366,태경산업,015890
367,한화갤러리아타임월드,027390
368,신대양제지,016590
369,유양디앤유,011690
370,남해화학,025860
371,동원금속,018500
372,성안,011300
373,경인양행,012610
374,풀무원,017810
375,현대상선,011200
376,서울도시가스,017390
377,이구산업,025820
378,나라케이아이씨,007460
379,에넥스,011090
380,제이준코스메틱,025620
381,한국카본,017960
382,성지건설,005980
383,KPX케미칼,025000
384,지코,010580
385,태평양물산,007980
386,KC그린홀딩스,009440
387,문배철강,008420
388,웅진,016880
389,오뚜기,007310
390,일정실업,008500
391,한라,014790
392,LS산전,010120
393,대양금속,009190
394,이화산업,000760
395,동원시스템즈,014820
396,삼성중공업,010140
397,모토닉,009680
398,화신,010690
399,삼화페인트공업,000390
400,경동나비엔,009450
401,동부,012030
402,삼광글라스,005090
403,대림비앤코,005750
404,대한해운,005880
405,메리츠종금증권,008560
406,휴니드테크놀러지스,005870
407,수산중공업,017550
408,롯데케미칼,011170
409,세아베스틸,001430
410,호텔신라,008770
411,백광소재,014580
412,화승알앤에이,013520
413,신흥,004080
414,화승인더스트리,006060
415,극동유화,014530
416,고려산업,002140
417,대현,016090
418,동국실업,001620
419,광명전기,017040
420,부산산업,011390
421,STX,011810
422,고려아연,010130
423,청호컴넷,012600
424,우리들제약,004720
425,HMC투자증권,001500
426,무림페이퍼,009200
427,금비,008870
428,대동전자,008110
429,원림,005820
430,서흥,008490
431,성문전자,014910
432,동원,003580
433,일진홀딩스,015860
434,대영포장,014160
435,영화금속,012280
436,신풍제약,019170
437,동성제약,002210
438,키위미디어그룹,012170
439,한올바이오파마,009420
440,유니켐,011330
441,대창,012800
442,국보,001140
443,일성건설,013360
444,까뮤이앤씨,013700
445,보락,002760
446,선도전기,007610
447,씨아이테크,004920
448,광동제약,009290
449,갤럭시아에스엠,011420
450,남성,004270
451,KISCO홀딩스,001940
452,태영건설,009410
453,한국특수형강,007280
454,한솔로지스틱스,009180
455,삼양통상,002170
456,SK텔레콤,017670
457,진양폴리우레탄,010640
458,미창석유공업,003650
459,삼익THK,004380
460,미원상사,002840
461,서연,007860
462,세우글로벌,013000
463,현대모비스,012330
464,메디플란트,015540
465,KG케미칼,001390
466,대우부품,009320
467,현대해상,001450
468,현대그린푸드,005440
469,한국전력공사,015760
470,국도화학,007690
471,녹십자,006280
472,SIMPAC,009160
473,윌비스,008600
474,대창단조,015230
475,사조산업,007160
476,한익스프레스,014130
477,사조동아원,008040
478,경인전자,009140
479,무림P&P,009580
480,인디에프,014990
481,한솔피엔에스,010420
482,디와이,013570
483,방림,003610
484,대경기계기술,015590
485,한솔케미칼,014680
486,퍼스텍,010820
487,동원산업,006040
488,대덕전자,008060
489,한성기업,003680
490,이스타코,015020
491,태림포장,011280
492,아세아제지,002310
493,화천기계,010660
494,CJ씨푸드,011150
495,신화실업,001770
496,조일알미늄,018470
497,에스엘,005850
498,영원무역홀딩스,009970
499,더존비즈온,012510
500,보령제약,003850
501,암니스,007630
502,이건산업,008250
503,모나리자,012690
504,대구백화점,006370
505,우성사료,006980
506,유성기업,002920
507,한일철강,002220
508,삼익악기,002450
509,화성산업,002460
510,동아타이어공업,007340
511,골든브릿지증권,001290
512,보해양조,000890
513,혜인,003010
514,금강공업,014280
515,엔케이물산,009810
516,율촌화학,008730
517,신원,009270
518,동방,004140
519,한국쉘석유,002960
520,부광약품,003000
521,풍산홀딩스,005810
522,부국증권,001270
523,계양전기,012200
524,한솔테크닉스,004710
525,동성화학,005190
526,동부증권,016610
527,한미사이언스,008930
528,삼진제약,005500
529,포스코,005490
530,범양건영,002410
531,파미셀,005690
532,동국제강,001230
533,대원전선,006340
534,이수화학,005950
535,삼성증권,016360
536,삼영무역,002810
537,한양증권,001750
538,금호석유화학,011780
539,유안타증권,003470
540,제일약품,002620
541,에이엔피,015260
542,한창제지,009460
543,넥센,005720
544,삼성공조,006660
545,세방전지,004490
546,진원생명과학,011000
547,참엔지니어링,009310
548,한국프랜지공업,010100
549,코스모신소재,005070
550,덕성,004830
551,신영증권,001720
552,유진증권,001200
553,유화증권,003460
554,대덕GDS,004130
555,한신기계공업,011700
556,코스모화학,005420
557,가온전선,000500
558,S-Oil,010950
559,한화테크윈,012450
560,삼화전자공업,011230
561,현대제철,004020
562,써니전자,004770
563,현대비앤지스틸,004560
564,사조오양,006090
565,한화투자증권,003530
566,삼화전기,009470
567,SK증권,001510
568,평화홀딩스,010770
569,일신석재,007110
570,동부제철,016380
571,아이에스동서,010780
572,SH에너지화학,002360
573,대한화섬,003830
574,코리아써키트,007810
575,신세계,004170
576,OCI,010060
577,삼일제약,000520
578,인스코비,006490
579,일성신약,003120
580,현대건설,000720
581,TCC동양,002710
582,에이프로젠제약,003060
583,F&F,007700
584,아남전자,008700
585,현대미포조선,010620
586,GS건설,006360
587,삼아알미늄,006110
588,한국전자홀딩스,006200
589,삼성SDI,006400
590,삼성전기,009150
591,고려개발,004200
592,동부건설,005960
593,케이씨티시,009070
594,코오롱글로벌,003070
595,빙그레,005180
596,녹십자홀딩스,005250
597,신한,005450
598,조선내화,000480
599,현대약품,004310
600,남양유업,003920
601,남선알미늄,008350
602,한국화장품제조,003350
603,삼호,001880
604,현대종합상사,011760
605,LS,006260
606,SK네트웍스,001740
607,경농,002100
608,도레이케미칼,008000
609,티웨이홀딩스,004870
610,동방아그로,007590
611,송원산업,004430
612,진흥기업,002780
613,한국석유공업,004090
614,천일고속,000650
615,대원강업,000430
616,만호제강,001080
617,조광피혁,004700
618,세방,004360
619,동양철관,008970
620,대유에이텍,002880
621,남광토건,001260
622,대성합동지주,005620
623,삼영전자공업,005680
624,신영와코루,005800
625,오리엔트바이오,002630
626,조비,001550
627,한국공항,005430
628,조광페인트,004910
629,삼천리,004690
630,성보화학,003080
631,조흥,002600
632,금양,001570
633,사조대림,003960
634,남영비비안,002070
635,S&T중공업,003570
636,한신공영,004960
637,KB손해보험,002550
638,농심,004370
639,삼영화학공업,003720
640,성신양회,004980
641,신라교역,004970
642,신풍제지,002870
643,종근당홀딩스,001630
644,크라운해태홀딩스,005740
645,한독,002390
646,SG충방,001380
647,SK케미칼,006120
648,샘표,007540
649,흥아해운,003280
650,GS글로벌,001250
651,금호산업,002990
652,삼부토건,001470
653,삼화콘덴서공업,001820
654,페이퍼코리아,001020
655,동양,001520
656,한화,000880
657,JW중외제약,001060
658,영풍,000670
659,백광산업,001340
660,성창기업지주,000180
661,한창,005110
662,삼화왕관,004450
663,KR모터스,000040
664,고려제강,002240
665,태양금속공업,004100
666,선창산업,002820
667,DRB동일,004840
668,넥센타이어,002350
669,SG세계물산,004060
670,롯데정밀화학,004000
671,동화약품,000020
672,대림산업,000210
673,LG상사,001120
674,국제약품,002720
675,태광산업,003240
676,부산주공,005030
677,현대시멘트,006390
678,CS홀딩스,000590
679,신성통상,005390
680,동부하이텍,000990
681,대림통상,006570
682,유유제약,000220
683,강남제비스코,000860
684,대신증권,003540
685,NH투자증권,005940
686,미래에셋대우,006800
687,신일산업,002700
688,삼성제약,001360
689,삼성화재해상보험,000810
690,삼양식품,003230
691,한화손해보험,000370
692,NI스틸,008260
693,일동홀딩스,000230
694,대동공업,000490
695,오리온,001800
696,깨끗한나라,004540
