Date,Open,High,Low,Close,Volume
2010-01-04,112.37,113.39,111.51,113.33,118944541
2010-01-05,113.26,113.68,112.85,113.63,111579866
2010-01-06,113.52,113.99,113.43,113.71,116074402
2010-01-07,113.5,114.33,113.18,114.19,131091048
2010-01-08,113.89,114.62,113.66,114.57,126402764
2010-01-11,115.08,115.13,114.24,114.73,106375678
2010-01-12,113.97,114.21,113.22,113.66,163333432
2010-01-13,113.95,114.94,113.37,114.62,161821927
2010-01-14,114.49,115.14,114.42,114.93,115783759
2010-01-15,,,,113.64,0
2010-01-19,113.62,115.13,113.59,115.06,139172635
2010-01-20,114.28,114.45,112.98,113.89,216490121
2010-01-21,113.92,114.27,111.56,111.7,344859506
2010-01-22,111.2,111.74,109.09,109.21,345942402
2010-01-25,110.21,110.41,109.41,109.77,186937468
2010-01-26,109.34,110.47,109.04,109.31,211168719
2010-01-27,109.17,110.08,108.33,109.83,271863580
2010-01-28,110.19,110.25,107.91,108.57,316103993
2010-01-29,109.04,109.8,107.22,107.39,310677592
2010-02-01,108.15,109.07,107.5,109.06,187864905
2010-02-02,109.26,110.59,108.88,110.38,216327851
2010-02-03,109.88,110.48,109.51,109.83,172730603
2010-02-04,108.98,109.03,106.42,106.44,356715612
2010-02-05,106.56,106.88,104.58,106.66,493585758
2010-02-08,106.74,107.33,105.81,105.89,224166833
2010-02-09,107.13,108.15,106.27,107.22,337820408
2010-02-10,107.05,107.6,106.11,107.01,240511495
2010-02-11,106.87,108.25,106.25,108.13,223591548
2010-02-12,,,,108.04,0
2010-02-16,108.86,109.85,107.82,109.74,159317418
2010-02-17,110.27,110.41,109.74,110.26,168845041
2010-02-18,110.08,111.14,110.04,110.91,193708529
2010-02-19,110.62,111.57,110.36,111.14,222684816
2010-02-22,111.55,111.58,110.83,111.16,132346808
2010-02-23,110.86,111.2,109.52,109.81,207496924
2010-02-24,110.14,111.0,109.86,110.82,176350611
2010-02-25,109.24,110.75,108.94,110.67,259634682
2010-02-26,110.77,111.12,110.11,110.74,173589231
2010-03-01,111.2,112.0,111.17,111.89,147709644
2010-03-02,112.37,112.74,112.0,112.2,160992382
2010-03-03,112.49,112.97,112.02,112.3,150784940
2010-03-04,112.45,112.8,112.03,112.64,135770353
2010-03-05,113.37,114.34,113.1,114.25,176118769
2010-03-08,114.26,114.52,114.07,114.27,114631139
2010-03-09,113.93,114.99,113.87,114.46,154556674
2010-03-10,114.51,115.28,114.41,114.97,186088798
2010-03-11,114.7,115.48,114.35,115.45,160875844
2010-03-12,115.95,115.97,115.14,115.46,162074761
2010-03-15,115.26,115.58,114.6,115.49,146816801
2010-03-16,115.81,116.52,115.49,116.41,168672990
2010-03-17,116.76,117.48,116.42,117.1,177468085
2010-03-18,117.11,117.27,116.57,117.04,196509041
2010-03-19,116.96,117.29,115.52,115.97,226641098
2010-03-22,115.31,116.8,115.24,116.59,184477713
2010-03-23,116.76,117.51,116.38,117.41,182941554
2010-03-24,116.97,117.43,115.58,116.84,196183319
2010-03-25,117.63,118.17,116.51,116.65,223396257
2010-03-26,116.87,117.42,116.12,116.58,205808499
2010-03-29,117.17,117.53,116.69,117.32,134513501
2010-03-30,117.46,117.83,116.91,117.4,145772406
2010-03-31,116.95,117.52,116.61,117.0,161078665
2010-04-01,,,,117.8,0
2010-04-05,118.25,118.84,117.92,118.76,105847602
2010-04-06,118.42,119.25,118.29,119.04,110384143
2010-04-07,118.8,119.36,117.81,118.36,184576297
2010-04-08,117.95,118.97,117.6,118.77,158703990
2010-04-09,119.02,119.6,118.8,119.55,133006493
2010-04-12,119.7,120.05,119.56,119.74,110278931
2010-04-13,119.62,120.04,119.0,119.83,125125040
2010-04-14,120.27,121.19,120.08,121.19,161608989
2010-04-15,120.99,121.57,120.95,121.29,144615226
2010-04-16,120.86,121.28,118.75,119.36,366879697
2010-04-19,119.01,119.93,118.47,119.81,217947757
2010-04-20,120.56,120.98,119.87,120.88,157707939
2010-04-21,120.95,121.23,119.99,120.66,192910086
2010-04-22,119.81,121.17,119.12,121.02,239188584
2010-04-23,120.94,121.86,120.63,121.81,177335420
2010-04-26,121.85,122.12,121.23,121.35,143457213
2010-04-27,120.65,121.33,118.25,118.48,355853771
2010-04-28,119.05,119.68,118.27,119.38,300677608
2010-04-29,120.1,121.11,120.07,120.86,193774904
2010-04-30,120.88,121.01,118.78,118.81,270000858
2010-05-03,119.38,120.68,119.2,120.35,182747817
2010-05-04,119.01,119.03,116.92,117.52,360353366
2010-05-05,116.56,117.8,115.97,116.82,328973162
2010-05-06,116.26,117.0,105.0,112.94,647356524
2010-05-07,112.64,113.77,109.41,111.26,637558734
2010-05-10,115.81,116.65,114.91,116.16,396159543
2010-05-11,115.07,117.36,114.91,115.83,317849705
2010-05-12,116.29,117.62,116.09,117.45,235607027
2010-05-13,117.13,117.68,115.89,115.99,234456089
2010-05-14,115.12,115.33,112.87,113.89,345602060
2010-05-17,114.2,114.52,111.77,113.95,325943991
2010-05-18,114.88,115.22,112.03,112.4,360595878
2010-05-19,111.77,112.77,110.36,111.76,394759527
2010-05-20,109.38,109.89,107.47,107.54,530423626
2010-05-21,105.91,109.38,105.36,109.12,500909335
2010-05-24,108.52,109.39,107.61,107.71,269822997
2010-05-25,105.11,107.87,104.38,107.82,396505132
2010-05-26,108.48,109.47,106.85,107.17,349719279
2010-05-27,109.19,110.8,108.78,110.76,300870473
2010-05-28,,,,109.37,0
2010-06-01,108.35,109.95,107.37,107.53,277909392
2010-06-02,108.08,110.34,107.51,110.33,240243641
2010-06-03,110.65,111.06,109.58,110.71,226618259
2010-06-04,108.61,109.33,106.46,106.82,398475566
2010-06-07,107.2,107.61,105.41,105.49,264609061
2010-06-08,105.57,106.83,104.65,106.62,357774294
2010-06-09,107.24,108.28,105.6,106.05,268023252
2010-06-10,107.86,109.28,106.04,109.15,317890583
2010-06-11,108.19,109.75,108.12,109.68,214128107
2010-06-14,110.52,111.12,109.4,109.51,207196003
2010-06-15,110.28,112.1,110.09,112.0,238268655
2010-06-16,111.42,112.42,111.2,111.96,216373918
2010-06-17,112.28,112.33,111.05,112.14,263185740
2010-06-18,111.83,112.13,111.37,111.73,174006543
2010-06-21,113.12,113.2,110.79,111.41,213140636
2010-06-22,111.41,111.9,109.41,109.57,239355313
2010-06-23,109.64,110.03,108.48,109.23,254698722
2010-06-24,108.69,108.83,107.14,107.42,268692053
2010-06-25,107.74,108.42,106.77,107.87,238726472
2010-06-28,108.03,108.32,107.14,107.53,169333229
2010-06-29,106.02,107.51,103.55,104.21,373760407
2010-06-30,103.92,104.88,102.88,103.22,284101670
2010-07-01,103.15,103.49,101.13,102.76,382924764
2010-07-02,,,,102.2,0
2010-07-06,103.64,104.37,101.88,102.87,256936431
2010-07-07,103.13,106.24,103.02,106.11,253769702
2010-07-08,107.0,107.28,105.91,107.16,210842046
2010-07-09,107.13,107.97,106.93,107.96,144999850
2010-07-12,107.6,108.24,107.15,108.03,131283538
2010-07-13,109.15,110.09,108.93,109.66,213025882
2010-07-14,109.31,110.08,108.86,109.65,184426719
2010-07-15,109.61,110.06,108.17,109.68,232337892
2010-07-16,109.09,109.21,106.45,106.66,282693306
2010-07-19,107.05,107.63,106.22,107.29,186708979
2010-07-20,105.87,108.56,105.82,108.48,258162303
2010-07-21,109.04,109.07,106.63,107.07,264526950
2010-07-22,108.34,109.94,108.33,109.46,274781292
2010-07-23,109.24,110.57,108.93,110.41,222020785
2010-07-26,110.6,111.67,110.29,111.56,182126480
2010-07-27,112.17,112.29,111.11,111.55,204855535
2010-07-28,111.32,111.66,110.46,110.83,163056171
2010-07-29,111.52,111.82,109.41,110.29,220149031
2010-07-30,109.17,110.86,108.98,110.27,220070531
2010-08-02,111.99,112.94,111.54,112.76,188263197
2010-08-03,112.48,112.77,111.85,112.22,146657242
2010-08-04,112.53,113.11,112.16,112.97,158171627
2010-08-05,112.25,112.91,112.08,112.85,140473721
2010-08-06,111.74,112.57,110.92,112.39,239728279
2010-08-09,112.92,113.18,112.32,112.99,120800381
2010-08-10,112.03,112.98,111.37,112.38,242916211
2010-08-11,110.65,110.69,109.12,109.3,273408176
2010-08-12,107.65,109.02,107.6,108.63,239542543
2010-08-13,108.29,108.96,108.18,108.31,158698476
2010-08-16,107.57,108.61,107.18,108.26,147895278
2010-08-17,109.19,110.39,108.88,109.59,172270222
2010-08-18,109.54,110.38,108.91,109.79,182922040
2010-08-19,109.22,109.49,107.43,107.88,265847589
2010-08-20,107.56,107.94,106.75,107.53,209714149
2010-08-23,108.04,108.57,107.07,107.12,163490258
2010-08-24,105.95,106.39,104.97,105.53,280795568
2010-08-25,104.95,106.34,104.29,105.94,272330717
2010-08-26,106.44,106.58,104.88,105.23,224492677
2010-08-27,105.89,106.97,104.31,106.86,272704063
2010-08-30,106.58,106.91,105.3,105.31,167238558
2010-08-31,104.92,105.98,104.49,105.31,273933006
2010-09-01,106.73,108.61,106.66,108.46,267834949
2010-09-02,108.72,109.49,108.49,109.47,156112147
2010-09-03,,,,110.89,0
2010-09-07,110.37,110.51,109.55,109.64,141973690
2010-09-08,109.86,110.85,109.81,110.41,150268927
2010-09-09,111.65,111.68,110.62,110.92,147017889
2010-09-10,111.12,111.61,110.87,111.48,127818961
2010-09-13,112.58,112.95,112.13,112.72,178503456
2010-09-14,112.5,113.29,112.08,112.65,209823581
2010-09-15,112.32,113.21,111.98,113.08,168608341
2010-09-16,112.73,113.12,112.35,113.05,199962858
2010-09-17,113.04,113.15,112.18,112.49,195836810
2010-09-20,112.88,114.46,112.52,114.21,214786712
2010-09-21,114.3,114.84,113.51,113.98,268632440
2010-09-22,113.8,114.44,113.1,113.42,191322353
2010-09-23,112.49,113.67,112.18,112.5,202354235
2010-09-24,113.75,114.9,113.65,114.82,209671704
